SERIALNO,SPORDER,PUMA,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANP,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
45394,3,6514,1007588,177,60,4,2014,1,2,2,2,2,2,,,2,2,,2,,,2,2,2,1,2,2,2,0,75,1,1,2910,1,5,2,2,1,2,1999,1,4,,,,,,,,,,3,5,3,3,3,0,0,5,0,1,,21,0,2,0,0,12000,30,1,3,1,2005,1,720,999,7,2,1,,1,0,6201,,1,1,5380,133,79,,,6,45211,2,,0,4720,4,12000,12000,233,501,7100,6,2,1,1,6,45,6,0,1,0,0,1,0,0,0,0,2,2,,,412010,,4
45401,1,9503,1007588,44,65,1,,1,2,2,2,2,2,,,2,4,2,2,,,1,1,1,2,2,2,2,0,10,1,1,1960,2,3,2,2,3,2,1991,1,4,,,,,,,,,,2,2,2,2,2,0,0,0,59000,1,,18,0,2,0,8600,0,32,3,1,2,2011,2,32,51,7,2,1,,6,1,,,1,1,8980,96,55,,,4,812112,1,,0,4510,4,0,67600,6,501,6500,6,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,,,,,395012,,1
45409,1,7111,1007588,69,77,1,2012,1,2,2,2,2,2,,,2,2,,2,,,1,2,1,2,2,2,2,0,,,,1960,2,1,2,2,1,2,2003,1,4,,,,,,,,,,3,2,3,3,3,0,0,0,0,1,13,16,0,2,0,15300,0,4,3,6,2,2006,2,22,94,7,2,,1,6,1,,,1,1,1790,,,,,1,316M,1,4,0,8965,4,0,15300,6,219,,,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,,,,,5191XX,,1
45409,2,7111,1007588,56,77,1,2012,1,2,2,2,2,2,,,2,1,,2,,,1,2,1,2,2,2,2,0,,,,1960,2,1,2,2,1,2,2003,1,4,,,,,,,,,,2,5,2,2,3,0,0,1,0,1,10,14,0,1,0,16300,0,,2,,2,2006,4,999,999,7,2,,1,6,1,,,1,1,8870,,,,,1,8113,1,4,0,8760,,0,16300,19,219,,,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,519080,,1
45411,1,5301,1007588,71,67,4,2001,,2,2,2,2,2,,,2,3,,1,2,1,2,2,1,2,2,2,2,0,,,,1200,1,1,2,2,1,2,1973,1,4,,,,,,,,,,3,5,2,2,3,0,0,0,0,1,2,6,0,1,0,12700,0,,3,,2,1971,1,210,999,4,2,,1,6,0,,,1,2,,,,,,1,,2,4,0,,,0,12700,303,208,,,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,,,3
45411,2,5301,1007588,83,58,4,1997,1,2,2,2,2,2,,,2,3,,1,,2,1,2,2,2,2,2,2,0,,,,1200,1,1,2,2,1,2,1973,1,4,,,,,,,,,,2,5,2,2,3,0,0,1,3700,1,,5,0,2,0,0,0,,2,,2,1975,1,210,999,4,2,,,6,1,,,1,2,170,,,,,1,111,2,,0,6050,4,0,3700,303,208,,,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,1,1,4520XX,,3
45411,3,5301,1007588,100,40,4,2004,1,2,2,2,2,2,,,2,2,2,2,,2,1,2,2,2,2,2,2,0,,,,1200,1,1,2,2,1,2,2008,1,4,,,,,,,,,,1,5,2,2,3,0,0,2,0,1,,21,0,2,0,0,12000,40,1,4,2,1989,1,210,999,5,2,,,2,1,3401,,1,2,8470,,,,,1,6244,2,,0,2540,2,12000,12000,303,208,,,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,2,2,1,2,259041,,3
45411,4,5301,1007588,82,12,1,,,2,2,2,2,2,,2,1,2,,2,,,1,2,2,2,2,2,2,8000,,,,1200,1,5,,,,,,1,2,0,0,0,1,0,0,0,0,0,3,5,3,2,3,0,0,7,22100,2,9,9,0,1,0,16000,0,,3,,2,,1,210,999,,1,,1,6,0,6000,,1,2,,,,,,6,,1,4,0,,,0,46100,6,208,,,1,2,2,1,1,1,0,0,0,0,1,0,0,1,1,2,2,1,4,,6,1
45411,5,5301,1007588,81,10,4,2012,,2,2,2,2,2,,,1,3,,2,,,1,2,2,2,2,2,2,5000,,,,1200,1,5,,,,,,1,4,,,,,,,,,,3,5,3,2,3,0,0,7,64000,2,6,6,0,1,0,16000,0,,3,,2,2011,4,999,999,7,1,,1,6,1,3301,,1,2,,,,,,6,,2,4,0,,4,0,85000,303,208,,,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,2,2,1,4,,,3
45411,6,5301,1007588,113,35,5,2008,1,2,2,2,2,2,,,2,3,2,2,,,1,2,2,2,2,2,2,0,141,1,1,1200,1,1,2,2,2,2,2008,1,4,,,,,,,,,,3,5,3,3,3,0,0,9,0,1,,12,0,1,0,0,41200,48,1,1,1,1998,1,210,999,6,2,1,,1,1,,,1,2,770,88,14,,,1,23,2,,0,6330,2,41200,41200,303,208,8500,6,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,1,2,472080,,3
45424,1,7309,1007588,13,85,1,,7,1,1,2,1,1,,,1,3,,2,,,2,2,1,2,2,2,2,0,30,1,1,1200,2,2,2,2,1,2,1960,1,4,,,,,,,,,,3,5,3,3,3,0,0,16,0,1,,16,0,1,0,20500,0,30,3,4,1,2010,4,999,999,7,1,1,,6,0,,,1,1,170,70,25,,,3,111,1,,0,205,,0,20500,6,145,10700,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,119013,,1
45449,1,9902,1007588,130,24,1,,4,2,2,2,2,2,,,2,1,,,,,2,2,2,2,2,2,2,0,10,1,1,1200,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,10,13,0,1,0,0,20000,50,1,1,1,,1,210,999,,2,1,1,1,0,,,2,2,9480,84,43,,,6,923,1,4,0,4610,,20000,20000,6,126,9900,6,2,2,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,399021,,1
45449,2,9902,1007588,180,4,1,,,2,2,2,,2,,,2,1,,,,,2,2,2,1,2,2,2,,,,,1200,1,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,1,1,,1,,,,,,,,,1,210,999,,2,,5,,0,,,1,2,,,,,,,,1,5,1,,,,,6,126,,,2,1,2,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1
45449,3,9902,1007588,115,10,1,,,2,2,2,2,2,,,2,1,,2,,,2,2,2,1,2,2,2,0,,,,1200,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,4,0,2,6,6,0,1,0,0,0,,3,,,,1,210,999,,2,,5,6,0,,,1,2,,,,,,6,,1,5,1,,,0,0,6,126,,,2,1,2,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1
45449,4,9902,1007588,114,9,1,2008,6,2,2,2,2,2,,,2,1,,2,,,2,2,2,1,2,2,2,0,,,,1200,1,5,2,2,1,2,2011,1,4,,,,,,,,,,2,5,2,2,3,0,0,4,0,2,6,6,6700,1,0,0,0,20,1,6,2,2001,1,210,999,7,2,,5,6,0,,,1,2,770,,,,,1,23,1,5,1,6230,,6700,6700,6,126,,,2,1,4,1,1,1,0,0,0,0,1,0,0,1,1,,,,,472031,,1
45449,5,9902,1007588,121,8,1,2015,9,2,2,2,2,2,,,2,1,2,2,,,2,2,2,1,2,2,2,0,,,,1200,1,5,2,2,1,2,2011,1,4,,,,,,,,,,2,1,2,1,3,0,0,4,0,2,4,4,0,2,0,0,0,,3,,2,2011,1,210,999,7,2,,5,3,0,3606,,1,2,9920,,,,,1,9920,1,5,1,9920,4,0,0,6,126,,,2,1,3,1,1,1,0,0,0,0,1,0,0,1,1,1,2,,,999920,,1
45449,6,9902,1007588,148,29,5,1994,1,2,2,2,2,2,,,2,1,2,2,,,1,2,2,2,2,2,2,0,15,1,1,1200,1,5,2,2,1,2,1977,1,4,,,,,,,,,,3,5,3,3,3,0,0,10,0,1,,16,0,2,0,0,20000,40,1,1,1,1995,1,210,999,6,2,1,,1,0,,,1,2,8290,85,43,,,6,623M,2,,0,4010,4,20000,20000,303,126,9900,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,351012,,3
45472,1,2901,1007588,57,70,1,1996,1,2,2,2,2,2,,2,2,2,,2,,,2,2,1,2,2,1,2,0,10,1,1,1200,2,1,2,2,2,2,1966,3,2,0,0,0,1,1,0,0,0,0,3,5,3,3,3,0,0,16,0,1,,19,0,1,0,19200,6400,40,1,5,1,1974,1,935,999,4,2,1,,6,0,,,1,1,8680,84,43,3700,6,2,722Z,1,,0,310,4,6400,25600,42,405,3700,6,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,119051,6,1
45476,1,5912,1007588,147,76,4,2004,1,2,1,2,2,1,,,2,3,,2,,,2,2,1,1,2,2,2,0,25,1,1,1960,1,3,2,2,1,2,1955,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,0,1,,16,0,1,6000,0,0,40,3,1,2,1994,1,785,999,6,1,1,,6,0,,,1,1,8560,87,43,,,4,711,2,,0,9620,,0,6000,247,52,3700,6,2,1,3,6,57,9,0,1,0,0,1,0,0,0,0,,,,,537062,,4
45489,1,702,1007588,34,53,4,2009,1,1,2,2,1,1,,,1,2,,2,,,2,2,2,1,2,2,2,0,20,1,1,2525,1,5,2,2,2,2,1993,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,0,1,15,1,0,2,0,9000,0,36,3,1,2,1988,1,765,999,5,1,1,,6,0,,,1,1,7980,92,49,,,6,6212,2,,0,5400,4,0,9000,223,72,1900,6,2,1,4,6,50,10,0,1,0,0,1,0,0,0,0,,,,,434171,,4
45489,2,702,1007588,75,56,5,,,1,2,1,1,1,,,1,3,2,2,,,2,2,2,1,2,2,2,0,,,,2525,1,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,13,0,1,15,1,0,1,0,9000,0,,3,,2,1988,1,765,999,5,1,,,6,0,,,1,1,,,,,,6,,2,,0,,4,0,9000,223,72,,,2,1,2,6,50,10,0,1,0,0,1,0,0,0,0,,,,,,,4
45512,1,3708,1007588,45,49,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,30,1,1,,2,4,2,2,1,2,1994,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,2,0,0,53000,40,1,1,1,1999,2,144,125,6,2,1,,1,0,6203,,1,1,6570,97,52,2500,6,5,5121,1,,0,5700,2,53000,53000,27,323,3700,6,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,436010,,1
45512,2,3708,1007588,43,15,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,15,4,1,,2,5,2,2,1,2,2008,1,4,,,,,,,,,,3,5,3,3,3,0,0,2,0,2,11,12,0,2,0,0,0,40,1,1,,2002,2,144,125,7,2,4,7,1,0,6201,,1,1,8190,118,76,2500,6,6,622,1,7,1,5860,4,30000,0,6,323,2500,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,2,2,,,439061,,1
45522,1,7322,1007588,24,37,1,,1,2,2,2,2,2,,,2,1,2,2,,,2,2,2,1,2,2,2,0,1,,10,1200,2,5,2,2,1,2,2000,1,4,,,,,,,,,,3,5,3,3,3,400,0,16,0,1,,19,0,1,0,0,0,60,3,1,,2000,2,21,32,7,2,,,6,0,3603,,1,1,6672,91,52,,,6,51913,1,,0,1020,4,0,400,6,501,2500,6,2,1,4,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,15113X,,1
45524,1,102,1007588,66,66,1,,1,2,2,2,2,2,,,2,2,,2,,,2,2,1,2,2,2,2,0,10,,11,1200,2,1,2,2,3,2,2013,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,15,19,0,1,0,0,44900,40,1,1,1,,1,50,995,,2,,,1,0,,,1,1,3490,114,73,2500,6,1,335M,1,,0,8030,,44900,44900,49,463,100,6,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,514041,,1
45524,2,102,1007588,70,63,1,,1,2,2,2,2,2,,,2,1,,2,,,1,2,2,2,2,2,2,0,20,,2,1200,2,1,2,2,2,2,2013,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,16,0,2,0,0,22000,40,1,3,1,,1,211,999,,2,,,1,0,,,1,2,2880,107,64,,,1,3327,1,,0,5620,4,22000,22000,6,463,100,6,1,2,2,8,67,15,0,0,0,0,1,0,1,0,0,,,,,435081,,1
45529,1,3703,1007588,190,55,1,1963,1,2,2,2,2,2,,,2,2,,2,,,1,2,2,2,2,2,2,0,40,1,1,1200,2,5,2,2,1,2,1977,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,34000,40,1,1,1,1964,1,924,999,3,2,1,,1,0,,,1,1,770,66,19,,,6,23,1,,0,220,,34000,34000,6,272,3700,6,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,119021,,1
45529,2,3703,1007588,196,39,1,1982,3,2,2,2,2,2,,,2,2,2,2,,,1,2,2,2,2,2,2,0,,,,1200,2,5,2,2,1,2,1977,1,4,,,,,,,,,,2,5,2,2,3,0,0,13,0,1,,16,0,2,0,0,0,,3,,2,1973,1,924,999,4,2,,,6,0,,,1,1,6180,,,,,6,485M,1,,0,9120,4,0,0,6,0,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,533020,,1
45559,1,7307,1007588,77,72,1,,,2,1,2,2,2,,2,2,,,2,,,2,2,1,2,2,2,2,0,,,,,2,1,2,2,2,2,2014,1,2,0,0,1,1,1,0,0,0,0,2,5,2,2,3,0,0,0,65000,1,,21,0,1,0,18000,0,,3,,2,,2,32,22,,1,,,6,0,2300,,1,1,,,,,,1,,1,,0,,4,0,83000,6,501,,,2,1,4,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,,6,1
45559,2,7307,1007588,82,57,1,,6,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,-5400,,,11,,2,1,2,2,3,2,2014,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,15000,1,,21,39000,2,0,0,0,20,1,1,1,,1,32,999,,2,,,1,0,5901,,1,1,7070,,,,,1,531,1,,0,4920,4,39000,48600,17,501,7300,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,419020,,1
45560,1,11300,1007588,67,24,5,,1,2,2,2,2,2,,,2,2,2,2,,,2,1,2,2,2,2,2,0,90,1,1,1970,1,3,1,2,1,2,2011,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,0,2,15,19,0,2,0,0,0,40,3,1,2,2009,4,999,999,7,2,1,,6,0,,,1,1,7290,88,31,,,4,5413,2,,0,1540,4,0,0,207,0,3700,6,1,2,1,6,43,5,0,1,0,0,1,0,0,0,0,,,,,173010,,4
45560,2,11300,1007588,123,28,1,2008,1,2,2,2,2,2,,,2,2,2,2,,,1,2,2,2,2,2,2,0,5,1,1,1288,2,5,2,2,1,2,1978,1,4,,,,,,,,,,3,5,3,3,3,0,0,12,0,1,,21,0,2,0,0,23000,20,1,1,1,1997,4,999,999,6,2,1,,1,1,6200,,1,1,7870,93,53,,,6,611M1,1,,0,2200,4,23000,23000,27,185,11300,6,1,2,1,6,43,5,0,1,0,0,1,0,0,0,0,2,2,,,251000,,1
45560,3,11300,1007588,133,23,1,,9,2,2,2,2,2,,2,2,,2,2,,,2,2,2,1,2,2,2,0,,,,,2,5,2,2,1,2,1967,1,4,0,1,0,1,0,0,0,0,0,3,5,3,3,3,0,0,12,0,1,,13,0,2,12000,0,0,,3,,2,,4,999,999,,2,,,3,1,5501,,1,1,9920,,,,,6,9920,1,,0,9920,4,0,12000,6,96,,,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,999920,5,1
45560,4,11300,1007588,89,20,4,2010,,2,2,2,2,2,,,2,,2,2,,,2,1,2,2,2,2,2,0,,,,,2,5,2,2,1,2,1967,1,4,,,,,,,,,,3,5,3,3,3,0,0,12,0,2,15,19,0,2,0,0,0,,3,,2,2004,4,999,999,7,2,,,6,1,5507,,1,1,,,,,,6,,2,,0,,4,0,0,207,0,,,1,2,4,6,43,5,0,1,0,0,1,0,0,0,0,1,2,,,,,4
45596,1,7704,1007588,56,70,1,,2,2,2,2,2,2,,2,2,,,2,,,2,1,1,2,2,2,2,0,,,,,2,1,2,2,2,2,2013,1,4,0,0,0,0,0,1,0,0,0,2,2,2,2,3,0,0,0,0,1,,19,0,2,0,23800,0,,2,,2,,1,21,999,,2,,,6,0,,,1,1,8270,,,,,1,6231,1,,0,350,4,0,23800,55,311,,,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,119111,9,1
45596,2,7704,1007588,52,83,1,,6,2,1,2,2,2,,2,2,,,2,,,2,1,1,2,2,2,2,0,,,,,2,1,2,2,3,2,2013,1,4,0,0,0,1,0,0,0,0,0,2,2,2,2,3,0,0,1,0,1,,22,7500,1,0,13300,0,15,1,2,2,,2,22,88,,1,,,6,0,5507,5401,1,1,5580,,,,,1,4539,1,,0,4760,,7500,20800,39,311,,,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,412031,6,1
45606,1,7303,1007588,137,73,1,,1,2,1,1,2,2,,,2,,,2,,,2,2,1,2,1,2,2,7200,,,,,2,1,2,2,1,2,1984,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,10100,1,,17,0,2,0,9300,0,,3,,2,,1,211,999,,1,,,6,0,,,1,2,3390,,,,,1,334M2,1,,0,5700,4,0,26600,6,467,,,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,436010,,1
45606,2,7303,1007588,96,94,1,,1,1,1,2,1,1,,2,2,,,2,,,2,2,1,2,1,1,2,1200,20,1,1,,2,1,2,2,2,2,1984,1,2,0,0,0,1,1,1,1,1,0,2,5,2,2,3,0,0,1,18300,1,,16,0,1,0,21400,0,40,3,1,2,,4,999,999,,1,1,,6,0,,,1,1,6870,110,67,1900,6,1,52M1,1,,0,10,4,0,40900,36,467,1900,6,1,1,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,1110XX,8,1
45607,1,3757,1007588,57,39,1,,2,2,2,2,2,2,,,2,1,2,2,,,2,2,2,1,2,2,2,0,15,1,1,1200,1,1,2,2,1,2,1996,1,4,,,,,,,,,,2,5,2,2,3,0,5000,0,0,1,,17,0,2,0,0,0,40,2,1,2,,2,210,222,,2,1,,6,0,,,1,2,5490,91,49,1900,6,1,4533,1,,0,5240,3,0,5000,6,164,1900,6,2,1,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,434051,,1
45607,2,3757,1007588,57,43,5,,1,2,2,2,2,2,,,2,1,,2,,,2,2,2,1,2,2,2,0,5,1,1,1200,1,1,2,2,1,2,1996,1,4,,,,,,,,,,2,5,2,2,2,0,0,1,0,1,,11,0,1,0,0,24600,55,1,1,1,1990,1,210,999,6,2,1,,1,0,5008,,1,2,9070,63,23,,,1,8123,2,,0,8300,,24600,24600,303,164,3700,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,516011,,3
45607,3,3757,1007588,52,17,1,,6,2,2,2,2,2,,,2,1,2,2,,,2,2,2,1,2,2,2,0,10,1,1,1200,1,5,2,1,2,2,2015,1,4,,,,,,,,,,2,5,2,2,3,0,0,2,0,2,14,15,0,2,0,0,0,40,3,1,2,,1,211,999,,2,1,2,6,0,2300,,1,2,770,96,55,,,6,23,1,2,1,6200,4,0,0,6,164,11100,6,2,1,2,1,1,1,0,0,0,0,1,0,0,1,1,2,2,,,471011,,1
45607,4,3757,1007588,57,16,1,,1,2,2,2,2,2,,,2,1,,2,,,2,2,2,1,2,2,2,0,,,11,1200,1,5,2,1,2,2,2015,1,4,,,,,,,,,,2,5,2,2,3,0,0,2,0,2,13,13,0,1,0,0,0,24,3,1,2,,1,211,999,,2,,2,6,0,2901,,1,2,770,,,,,6,23,1,2,1,5860,4,0,0,6,164,11100,6,2,1,4,1,1,1,0,0,0,0,1,0,0,1,1,2,2,,,439061,,1
45607,5,3757,1007588,62,5,1,,1,2,2,2,2,2,,,2,1,,,,,2,2,2,1,2,2,2,0,10,1,1,1200,1,5,,,,,,1,4,,,,,,,,,,2,5,2,2,1,0,0,2,0,2,1,1,0,1,0,0,3600,24,1,5,,,2,210,222,,2,1,2,1,0,,,1,2,770,96,55,900,40,6,23,1,2,1,6420,,3600,3600,6,164,11100,6,2,1,4,1,1,1,0,0,0,0,1,0,0,1,1,,,,,472140,,1
